freq[Hz],db:Trc2_S21,ang:Trc2_S21,,,,
1.138012670890297E+011,-6.27E+00,9.057728289598748E+000,,,,
1.138212737579193E+011,-6.23E+00,-3.13E+01,,,,
1.138412804268089E+011,-6.32E+00,-7.09E+01,,,,
1.138612870956986E+011,-6.38E+00,-1.10E+02,,,,
1.138812937645882E+011,-6.30E+00,-1.49E+02,,,,
1.139013004334778E+011,-6.27E+00,1.715870593208132E+002,,,,
1.139213071023675E+011,-6.31E+00,1.321300905100630E+002,,,,
1.139413137712571E+011,-6.41E+00,9.277705115287398E+001,,,,
1.139613204401467E+011,-6.46E+00,5.402744357908439E+001,,,,
1.139813271090364E+011,-6.35E+00,1.505536990233268E+001,,,,
1.140013337779260E+011,-6.27E+00,-2.50E+01,,,,
1.140213404468156E+011,-6.28E+00,-6.54E+01,,,,
1.140413471157052E+011,-6.38E+00,-1.05E+02,,,,
1.140613537845949E+011,-6.40E+00,-1.45E+02,,,,
1.140813604534845E+011,-6.30E+00,1.751479341529724E+002,,,,
1.141013671223741E+011,-6.21E+00,1.344891671109313E+002,,,,
1.141213737912638E+011,-6.20E+00,9.285021798820989E+001,,,,
1.141413804601534E+011,-6.28E+00,5.241777999937308E+001,,,,
1.141613871290430E+011,-6.21E+00,1.207748328699743E+001,,,,
1.141813937979327E+011,-6.12E+00,-2.92E+01,,,,
1.142014004668223E+011,-6.09E+00,-7.12E+01,,,,
1.142214071357119E+011,-6.17E+00,-1.13E+02,,,,
1.142414138046015E+011,-6.26E+00,-1.54E+02,,,,
1.142614204734912E+011,-6.27E+00,1.654755317314555E+002,,,,
1.142814271423808E+011,-6.28E+00,1.243340035015986E+002,,,,
1.143014338112704E+011,-6.31E+00,8.301788535233592E+001,,,,
1.143214404801601E+011,-6.43E+00,4.184606142755879E+001,,,,
1.143414471490497E+011,-6.55E+00,1.650584137153700E+000,,,,
1.143614538179393E+011,-6.53E+00,-3.83E+01,,,,
