stripe_idx,ru_idx,distance_m,tx_theta_deg,tx_phi_deg,rx_theta_deg,rx_phi_deg,g_tx_dbi,g_rx_dbi,g_total_db,mean_power_iso,mean_power_patterned,pattern_vs_iso_db
0,19,8.531712215378805,76.44259124196451,91.88894907906682,103.5574087580355,91.88894907906683,-4.503807702024499,-4.503807702024499,-9.007615404048998,3.1420315851264646e-10,3.948653323616134e-11,-9.007615404049
1,0,10.919859884282335,79.44655992018029,-86.11895659206547,100.55344007981972,-86.11895659206546,-1.3808751205426795,-1.3808751205426761,-2.7617502410853554,1.9180009161251363e-10,1.0154856394075807e-10,-2.7617502410853563
1,1,9.940939943467084,78.39354857049233,-85.72069848831647,101.60645142950767,-85.72069848831646,-1.2527749986567076,-1.2527749986567014,-2.5055499973134094,2.314344690776277e-10,1.2997895531496416e-10,-2.505549997313407
1,2,8.96667352070321,77.11187074856342,-85.23156867908892,102.88812925143658,-85.23156867908892,-1.1044473612307362,-1.1044473612307362,-2.2088947224614723,2.844593592666772e-10,1.7105302355231675e-10,-2.2088947224614706
1,3,7.998761222473193,75.52019668355027,-84.61656385567149,104.47980331644975,-84.61656385567149,-0.9314866257723009,-0.9314866257723009,-1.8629732515446016,3.574682522683723e-10,2.3277704559077334e-10,-1.8629732515446031
1,4,7.039824441092376,73.4950611139195,-83.82013561321108,106.50493888608051,-83.82013561321108,-0.7286953141311693,-0.7286953141311693,-1.4573906282623386,4.614868009996419e-10,3.299287954404135e-10,-1.457390628262338
1,5,6.09410167528097,70.84127857330644,-82.74862067783397,109.15872142669356,-82.74862067783396,-0.49057750756836804,-0.4905775075683605,-0.9811550151367285,6.158338410032961e-10,4.913014533485545e-10,-0.9811550151367292
1,6,5.168851158228787,67.2361931994874,-81.23109625021388,112.76380680051261,-81.23109625021387,-0.21306101224872998,-0.21306101224872642,-0.4261220244974564,8.560416375078787e-10,7.760374619810736e-10,-0.42612202449745695
1,7,4.277378795849605,62.12293081711219,-78.92031151245207,117.87706918288781,-78.92031151245206,0.10258966499412046,0.10258966499412046,0.20517932998824046,1.250050383313309e-09,1.310525423990363e-09,0.20517932998824046
1,8,3.446000062455681,54.52251169571519,-74.99355014187724,125.4774883042848,-74.99355014187724,0.45154630268519835,0.45154630268519835,0.9030926053703965,1.9259826921308518e-09,2.371164261199696e-09,0.9030926053703974
1,9,2.7301764590782955,42.89911758375926,-66.98481685111798,137.10088241624075,-66.98481685111797,0.9549098803322419,0.9549098803322449,1.9098197606644864,3.0683260462949673e-09,4.763031818847154e-09,1.9098197606644873
1,10,2.2433926461870293,26.936783033793425,-44.35879155422944,153.06321696620657,-44.358791554229434,3.1157252858364357,3.1157252858364357,6.231450571672871,4.544356124735405e-09,1.9081715450298494e-08,6.231450571672873
1,11,2.1475003218222772,21.359209897951978,21.721788845841896,158.64079010204802,21.7217888458419,5.277933699890877,5.277933699890877,10.555867399781754,4.959255307719478e-09,5.636418176828311e-08,10.555867399781754
1,12,2.4881126782136547,36.50334652918045,60.59900756594898,143.49665347081958,60.599007565948995,1.4415195723884722,1.4415195723884688,2.883039144776941,3.6943909660930474e-09,7.175410769028707e-09,2.88303914477694
1,13,3.1256442162773848,50.21801586675438,72.39211861266371,129.78198413324563,72.39211861266371,0.6204257548654933,0.62042575486549,1.2408515097309836,2.3410131764756693e-09,3.1152220566811185e-09,1.2408515097309836
1,14,3.9177287851520566,59.302869035140496,77.54397448555997,120.69713096485951,77.54397448555997,0.24506936286605122,0.24506936286605122,0.49013872573210215,1.4900958558418894e-09,1.6681230346633691e-09,0.4901387257321038
1,15,4.788271702949797,65.31134073761702,80.38571258168584,114.688659262383,80.38571258168584,-0.08442892337831868,-0.08442892337831868,-0.16885784675663737,9.975286327643932e-10,9.594880843815336e-10,-0.1688578467566354
1,16,5.701446568067659,69.46446940111119,82.17828230951626,110.53553059888881,82.17828230951626,-0.3786360245787995,-0.3786360245787995,-0.7572720491575988,7.03578929221241e-10,5.90997467414926e-10,-0.7572720491575988
1,17,6.639686742293739,72.46916439651979,83.40994697021179,107.53083560348021,83.40994697021179,-0.6330398594928894,-0.6330398594928894,-1.2660797189857786,5.187854197886765e-10,3.875964494298006e-10,-1.2660797189857775
1,18,7.593707072507602,74.72952475596617,84.3075940187574,105.27047524403385,84.3075940187574,-0.8500577232954287,-0.8500577232954287,-1.7001154465908577,3.966205948684403e-10,2.6814130390337667e-10,-1.70011544659086
1,19,8.55823195352362,76.48540030407702,84.99056533978408,103.514599695923,84.9905653397841,-1.0349082178948628,-1.034908217894884,-2.0698164357897473,3.122589075799693e-10,1.9388008097803788e-10,-2.0698164357897473
