freq[Hz]	db:Trc1_S21	ang:Trc1_S21
1.460000000000000E+011	-6.756586502038286E+000	-4.150198030050781E+001
1.460500000000000E+011	-6.242444131498453E+000	-1.795457319281349E+002
1.461000000000000E+011	-6.159359536829856E+000	4.583390792999209E+001
1.461500000000000E+011	-6.310685203489023E+000	-9.005478464440452E+001
1.462000000000000E+011	-6.714745462201177E+000	1.319120178541473E+002
1.462500000000000E+011	-6.332799552943255E+000	-8.109189640255801E+000
1.463000000000000E+011	-6.204952337779808E+000	-1.437297820186811E+002
1.463500000000000E+011	-6.269964558080948E+000	8.011295483429772E+001
1.464000000000000E+011	-6.596926478711316E+000	-5.682331288665215E+001
1.464500000000000E+011	-6.423659734325325E+000	1.630000737632020E+002
1.465000000000000E+011	-6.214785156556666E+000	2.766956452441374E+001
1.465500000000000E+011	-6.324656574885260E+000	-1.070316663558877E+002
1.466000000000000E+011	-6.689316820444827E+000	1.167788951233561E+002
1.466500000000000E+011	-6.524113988882633E+000	-2.205520310633639E+001
1.467000000000000E+011	-6.313849238344708E+000	-1.569573131903077E+002
1.467500000000000E+011	-6.370331853052868E+000	6.832010158870831E+001
1.468000000000000E+011	-6.722385426468748E+000	-6.714803202103920E+001
1.468500000000000E+011	-6.763064214102970E+000	1.541582431358774E+002
1.469000000000000E+011	-6.488312257712704E+000	1.799927142754311E+001
1.469500000000000E+011	-6.475786625438560E+000	-1.174579095256610E+002
1.470000000000000E+011	-6.714492273426202E+000	1.058538544108054E+002
1.470500000000000E+011	-6.957158461737055E+000	-3.174883781246940E+001
1.471000000000000E+011	-6.651727115111041E+000	-1.691413400431112E+002
1.471500000000000E+011	-6.461169943019792E+000	5.403173317265093E+001
1.472000000000000E+011	-6.607046680925206E+000	-8.144117960612691E+001
1.472500000000000E+011	-6.935959532430776E+000	1.415279630255401E+002
1.473000000000000E+011	-6.882929519324263E+000	2.700631718648288E+000
1.473500000000000E+011	-6.675577870958409E+000	-1.336610813873141E+002
1.474000000000000E+011	-6.515129258151982E+000	9.142770945660963E+001
1.474500000000000E+011	-6.801611809537685E+000	-4.416716734127093E+001
1.475000000000000E+011	-7.088721326369617E+000	1.777477780545061E+002
1.475500000000000E+011	-6.910415386833249E+000	3.981598676328569E+001
1.476000000000000E+011	-6.630167847452667E+000	-9.457816812108601E+001
1.476500000000000E+011	-6.825999093881775E+000	1.329461052065317E+002
1.477000000000000E+011	-7.277375058103770E+000	-4.613561648914090E+000
1.477500000000000E+011	-7.055308952941885E+000	-1.438724168105507E+002
1.478000000000000E+011	-6.499528058130404E+000	8.152706385499815E+001
1.478500000000000E+011	-6.518164194408207E+000	-5.222632006481253E+001
1.479000000000000E+011	-7.137455634368426E+000	1.707890530327053E+002
1.479500000000000E+011	-6.914069394903457E+000	2.847988550588486E+001
1.480000000000000E+011	-6.480132643551674E+000	-1.081790513339072E+002
1.480500000000000E+011	-6.436723205086120E+000	1.179804417592979E+002
1.481000000000000E+011	-7.105288299087823E+000	-1.713442769095024E+001
1.481500000000000E+011	-7.377908717701311E+000	-1.600671932458451E+002
1.482000000000000E+011	-6.637080716714775E+000	6.299086788165970E+001
1.482500000000000E+011	-6.507594343656947E+000	-7.094316713147288E+001
1.483000000000000E+011	-6.910630248648227E+000	1.553712661734452E+002
1.483500000000000E+011	-7.503498734306636E+000	1.583733148597547E+001
1.484000000000000E+011	-6.901568453498357E+000	-1.231797350625073E+002
1.484500000000000E+011	-6.777420052303272E+000	1.036068224177088E+002
1.485000000000000E+011	-6.877617302290440E+000	-2.826946062713331E+001
1.485500000000000E+011	-7.445103935110713E+000	-1.649514880925609E+002
1.486000000000000E+011	-7.081910802278188E+000	5.516746663151332E+001
1.486500000000000E+011	-6.743455522769065E+000	-7.998618597299002E+001
1.487000000000000E+011	-6.660003913020858E+000	1.453928132396292E+002
1.487500000000000E+011	-7.331323772979747E+000	8.781489913336991E+000
