freq[Hz],db:Trc2_S21,ang:Trc2_S21
1.147415805268423E+011,-6.22E+00,6.120758093564108E+001
1.147615871957319E+011,-6.22E+00,1.979517859526189E+001
1.147815938646215E+011,-6.55E+00,-2.19E+01
1.148016005335112E+011,-6.74E+00,-5.95E+01
1.148216072024008E+011,-6.62E+00,-9.91E+01
1.148416138712904E+011,-6.50E+00,-1.39E+02
1.148616205401801E+011,-6.35E+00,1.795129345311123E+002
1.148816272090697E+011,-6.58E+00,1.380877177312279E+002
1.149016338779593E+011,-6.55E+00,9.887685869350709E+001
1.149216405468490E+011,-6.53E+00,5.749177456772404E+001
1.149416472157386E+011,-6.57E+00,1.691823388427472E+001
1.149616538846282E+011,-6.58E+00,-2.49E+01
1.149816605535178E+011,-6.94E+00,-6.51E+01
1.150016672224075E+011,-6.74E+00,-1.04E+02
1.150216738912971E+011,-6.70E+00,-1.46E+02
1.150416805601867E+011,-6.75E+00,1.723501142103495E+002
1.150616872290764E+011,-6.96E+00,1.313864898551786E+002
1.150816938979660E+011,-6.96E+00,9.222070050531261E+001
1.151017005668556E+011,-6.80E+00,5.031135943586912E+001
1.151217072357453E+011,-6.86E+00,8.779829750536747E+000
1.151417139046349E+011,-6.98E+00,-3.32E+01
1.151617205735245E+011,-7.34E+00,-7.33E+01
1.151817272424141E+011,-7.27E+00,-1.13E+02
1.152017339113038E+011,-7.35E+00,-1.53E+02
1.152217405801934E+011,-7.16E+00,1.677940127336364E+002
1.152417472490830E+011,-6.92E+00,1.255005151006682E+002
1.152617539179727E+011,-7.13E+00,8.334224426989488E+001
1.152817605868623E+011,-7.29E+00,4.314169319943348E+001
1.153017672557519E+011,-7.37E+00,3.391133943020245E+000
1.153217739246415E+011,-7.15E+00,-3.60E+01
1.153417805935312E+011,-6.98E+00,-7.84E+01
1.153617872624208E+011,-7.21E+00,-1.20E+02
1.153817939313104E+011,-7.31E+00,-1.60E+02
1.154018006002001E+011,-7.35E+00,1.609404380210150E+002
1.154218072690897E+011,-7.13E+00,1.213676191762146E+002
1.154418139379793E+011,-6.93E+00,8.026395977618590E+001
1.154618206068690E+011,-6.88E+00,3.880321966010593E+001
1.154818272757586E+011,-6.99E+00,-2.66E+00
1.155018339446482E+011,-7.14E+00,-4.25E+01
1.155218406135378E+011,-7.03E+00,-8.24E+01
1.155418472824275E+011,-6.98E+00,-1.24E+02
1.155618539513171E+011,-7.22E+00,-1.66E+02
1.155818606202067E+011,-7.41E+00,1.540460739586000E+002
1.156018672890964E+011,-7.56E+00,1.142654022304782E+002
1.156218739579860E+011,-7.62E+00,7.390517881913782E+001
1.156418806268756E+011,-7.84E+00,3.201713385306730E+001
1.156618872957653E+011,-8.28E+00,-7.04E+00
1.156818939646549E+011,-8.49E+00,-4.56E+01
1.157019006335445E+011,-8.53E+00,-8.36E+01
1.157219073024341E+011,-8.38E+00,-1.23E+02
1.157419139713238E+011,-8.57E+00,-1.63E+02
1.157619206402134E+011,-8.57E+00,1.582460643841535E+002
1.157819273091030E+011,-8.37E+00,1.183527770454473E+002
1.158019339779927E+011,-8.27E+00,7.699014841268644E+001
1.158219406468823E+011,-8.43E+00,3.487350474910312E+001
1.158419473157719E+011,-8.88E+00,-4.10E+00
1.158619539846616E+011,-8.66E+00,-4.29E+01
1.158819606535512E+011,-8.64E+00,-8.46E+01
1.159019673224408E+011,-8.87E+00,-1.26E+02
1.159219739913304E+011,-9.16E+00,-1.65E+02
1.159419806602201E+011,-8.95E+00,1.565231323827810E+002
1.159619873291097E+011,-8.92E+00,1.140880574066020E+002
1.159819939979993E+011,-9.55E+00,7.354022943030481E+001
1.160020006668890E+011,-9.85E+00,3.818339676543623E+001
1.160220073357786E+011,-9.37E+00,2.298015833120777E+000
1.160420140046682E+011,-8.59E+00,-3.98E+01
1.160620206735579E+011,-8.91E+00,-8.43E+01
1.160820273424475E+011,-9.61E+00,-1.21E+02
